date,value
1960,717.80
1961,760.31
1962,812.93
1963,811.74
1964,840.48
1965,904.12
1966,960.74
1967,1031.60
1968,1275.71
1969,1312.74
1970,1509.44
1971,1929.31
1972,2474.39
1973,3640.08
1974,10503.43
1975,10265.64
1976,13312.51
1977,14595.37
1978,14914.15
1979,19611.57
1980,27205.65
1981,28703.36
1982,22454.48
1983,17809.55
1984,15541.13
1985,12745.42
1986,10078.29
1987,9385.98
1988,9165.50
1989,9413.58
1990,11054.75
1991,11847.17
1992,11730.27
1993,10884.86
1994,10601.92
1995,10786.40
1996,11471.50
1997,11545.35
1998,9836.06
1999,10452.19
2000,11714.56
2001,10805.31
2002,10586.05
2003,11487.22
2004,13154.50
2005,15975.75
2006,17563.61
2007,18596.15
2008,22320.49
2009,17718.39
2010,22028.39
2011,27126.75
2012,28733.44
2013,27865.47
2014,27805.49
2015,23256.15
2016,22267.72
2017,23929.29
2018,29360.07
2019,29566.79
2020,24338.83
2021,31920.77
2022,38510.23
2023,36156.85
2024,35057.23
